Year,Quantity,Qualifier,Comments
1981,64297,,
1982,88194,,
1983,68919,,
1984,17337,,
1985,16492,,
1986,48011,,
1987,50893,,
1988,74324,,
1989,89577,,
1990,11009,,
1991,21540,,
1992,32384,,
1993,21754,,
1994,43342,,
1995,95331,,
1996,70904,,
1997,122720,,
1998,262315,,
1999,259336,,
2000,290814,,
2001,254948,,
2002,152056,,
2003,67172,,
2004,15376,,
2005,7776,,
2006,21744,,
2007,36864,,
2008,58640,,
2009,34835,,
2010,110287,,
2011,64500,,
2012,107901,,
2013,91240,,
2014,102408,,
2015,11135,,
2016,74304,,
2017,72664,,
2018,88080,,
2019,35832,,
2020,125196,,
2021,32760,,
2022,5000,Q,"<5,000"
2023,4104,,
2024,7392,,
2025,14256,,
