WW_StaNumb,WW_Station,WBID,WB_Type,Site_DESCR,PARKING_ACCESS,Town,BorderTown,COUNTY,State,LAT_DD,LON_DD,ProjID,Year_added,Active,Status,DepthCode,MaxDepth_m,PublicAcce,LakeAcreag,sq__meter,HUC_8,HUC_10,HUC_12,HUC_10_NAME,HUC_12_NAME,Image,elevation_Feet,elevation_meters,Ord_Id
86,WW086,RI0010044R-01,Stream or river,Gilbert Stuart Stream,"At intersection of Gilbert Stuart Rd, just downstream of Gilbert Stuart birthplace",North Kingstown,,WASHINGTON,RI,41.519381,-71.445281,12,1992,2025,Active,S,0.4,Yes,,,1090004,109000409,10900040912,Narragansett Bay,Pettaquamscutt River-Frontal Atlantic Ocean,,0.8,0.2,NRPA
87,WW087,RI0010044E-01A,Estuary,Upper Pond,"Upper pond of Pettaquamscutt Lake, limited access",North Kingstown,,WASHINGTON,RI,41.514214,-71.447789,12,1992,2025,Active,D,9,Yes,,,1090004,109000409,10900040912,Narragansett Bay,Pettaquamscutt River-Frontal Atlantic Ocean,,0.3,0.1,NRPA
88,WW088,RI0010044R-10,Stream or river,Mumford Brook,,South Kingstown,,WASHINGTON,RI,41.438846,-71.475098,12,2000,2025,Active,S,,Yes,,,1090004,109000409,10900040912,Narragansett Bay,Pettaquamscutt River-Frontal Atlantic Ocean,,6.4,2,NRPA
89,WW089,RI0010044E-01A,Estuary,Lower Pond A,"Upstream portion of the lower pond of Pettaquamscutt Lake, limited access from URI property off of Walmsley Lane",North Kingstown,,WASHINGTON,RI,41.503847,-71.45155,12,1992,2025,Active,D,9.5,Yes,,,1090004,109000409,10900040912,Narragansett Bay,Pettaquamscutt River-Frontal Atlantic Ocean,,0.3,0.1,NRPA
91,WW091,RI0010044E-01A,Estuary,Lower Pond B,"Downstream portion of the lower pond of Pettaquamscutt Lake, limited access from URI property off of Walmsley Lane",South Kingstown,"South Kingstown, Narragansett",WASHINGTON,RI,41.494719,-71.448764,12,1992,2025,Active,D,5,Yes,,,1090004,109000409,10900040912,Narragansett Bay,Pettaquamscutt River-Frontal Atlantic Ocean,,0.3,0.1,NRPA
93,WW093,RI0010044E-01A,Estuary,Lacey Bridge,"At intersection of Bridgetown Rd, limited parking on Lacey Lane",South Kingstown,"South Kingstown, Narragansett",WASHINGTON,RI,41.488384,-71.447304,12,1992,2020,Not Active,S,,Yes,,,1090004,109000409,10900040912,Narragansett Bay,Pettaquamscutt River-Frontal Atlantic Ocean,,1.2,0.4,NRPA
94,WW094,RI0010044E-01A,Estuary,Mettatuxet Beach,,Narragansett,"South Kingstown, Narragansett",WASHINGTON,RI,41.475468,-71.448277,12,1992,2025,Active,S,,Yes,,,1090004,109000409,10900040912,Narragansett Bay,Pettaquamscutt River-Frontal Atlantic Ocean,,,0,NRPA
95,WW095,RI0010044E-01A,Estuary,End of Narrows,State lanch ramp and parking area at the end of  River St.,South Kingstown,"South Kingstown, Narragansett",WASHINGTON,RI,41.469,-71.448894,12,1992,2025,Active,S,,Yes,,,1090004,109000409,10900040912,Narragansett Bay,Pettaquamscutt River-Frontal Atlantic Ocean,,0.3,0.1,NRPA
96,WW096,RI0010044E-01A,Estuary,Middlebridge,"At the intersection of Middlebridge Rd., limited public parking at adjacent restaurant and marina",South Kingstown,"South Kingstown, Narragansett",WASHINGTON,RI,41.457969,-71.450764,12,1992,2025,Active,S,,Yes,,,1090004,109000409,10900040912,Narragansett Bay,Pettaquamscutt River-Frontal Atlantic Ocean,,,0,NRPA
97,WW097,RI0010044E-01A,Estuary,Pettaquamscutt,"Pettaquamscutt Cove, limited access from streets along South Kingstown side",Narragansett,"South Kingstown, Narragansett",WASHINGTON,RI,41.444172,-71.460867,12,1992,2017,Not Active,S,,Yes,,,1090004,109000409,10900040912,Narragansett Bay,Pettaquamscutt River-Frontal Atlantic Ocean,,,0,NRPA
