State,Group,Site,Depth,Parameter,Unit,Calculation,Min,Max,Excellent,Good,Fair,Best
CT,Saltwater,,,Ammonia,ug/L,mean,,35,,,,
CT,Saltwater,,,Ammonia,ug/L,max,,233,,,,
CT,Saltwater,,,Dissolved oxygen,mg/L,min,3,,,,,
CT,Saltwater,,,Dissolved oxygen,mg/L,mean,4.8,,,,,
CT,Saltwater,,,Enterococcus,cfu/100mL,geomean,,35,,,,
CT,Saltwater,,,Enterococcus,cfu/100mL,max,,500,104,500,500,low
CT,Saltwater,,,Fecal Coliform,cfu/100mL,geomean,,88,14,88,88,low
CT,Saltwater,,,Fecal Coliform,cfu/100mL,90p,,260,31,260,260,low
CT,Saltwater,,,pH,None,mean,6.8,8.5,,,,
CT,Saltwater,,,pH,None,min,6.8,8.5,,,,
CT,Saltwater,,,pH,None,max,6.8,8.5,,,,
CT,Saltwater,,,"Temperature, water",deg F,max,,83,,,,
CT,,,,Dissolved oxygen,mg/L,min,5,,,,,
CT,,,,E. coli,cfu/100mL,geomean,,126,,,,
CT,,,,E. coli,cfu/100mL,max,,410,235,410,576,low
CT,,,,pH,None,mean,6.8,8.5,,,,
CT,,,,pH,None,min,6.8,8.5,,,,
CT,,,,pH,None,max,6.8,8.5,,,,
CT,,,,Sodium,mg/L,max,,20,,,,
CT,,,,"Temperature, water",deg F,max,,85,,,,
CT,,,,Total Coliform,cfu/100mL,mean,,100,,,,
CT,,,,Total Coliform,cfu/100mL,max,,500,,,,
MA,Coldwater,,,Dissolved oxygen,mg/L,min,6,,6,6,3,high
MA,Coldwater,,,"Temperature, water",deg F,max,,68,68,68,85,low
MA,Saltwater,,,Dissolved oxygen,mg/L,min,5,,6,5,4,high
MA,Saltwater,,,Fecal Coliform,MPN/100mL,geomean,,88,14,88,1000,low
MA,Saltwater,,,Fecal Coliform,MPN/100mL,90p,,260,28,260,2000,low
MA,Saltwater,,,pH,None,mean,6.5,8.5,,,,
MA,Saltwater,,,pH,None,min,6.5,8.5,,,,
MA,Saltwater,,,pH,None,max,6.5,8.5,,,,
MA,Saltwater,,,"Temperature, water",deg F,max,,85,80,80,85,low
MA,Warmwater,,,Dissolved oxygen,mg/L,min,5,,5,5,3,high
MA,Warmwater,,,"Temperature, water",deg F,max,,83,83,83,85,low
MA,,,,Enterococcus,cfu/100mL,geomean,,35,,,,
MA,,,,Enterococcus,cfu/100mL,90p,,130,,,,
MA,,,,E. coli,cfu/100mL,geomean,,126,,,,
MA,,,,E. coli,cfu/100mL,90p,,410,,,,
MA,,,,Fecal Coliform,cfu/100mL,max,,20,,,,
MA,,,,pH,None,mean,6.5,8.3,,,,
MA,,,,pH,None,min,6.5,8.3,,,,
MA,,,,pH,None,max,6.5,8.3,,,,
MA,,,,Total Coliform,cfu/100mL,90p,,100,,,,
RI,Coldwater,,,Dissolved oxygen,mg/L,min,5,,8,5,5,high
RI,Coldwater,,,Dissolved oxygen,mg/L,mean,6.5,,9.5,6.5,6.5,high
RI,Coldwater,,,Dissolved oxygen saturation,%,min,75,,,,,
RI,Coldwater,,,"Temperature, water",deg F,max,,68,,,,
RI,Saltwater,,Surface,Dissolved oxygen,mg/L,min,4.8,,,,,
RI,Saltwater,,,Enterococcus,cfu/100mL,geomean,,35,,,,
RI,Saltwater,,,Enterococcus,cfu/100mL,max,,104,,,,
RI,Saltwater,,,Fecal Coliform,cfu/100mL,geomean,,50,14,50,50,low
RI,Saltwater,,,Fecal Coliform,cfu/100mL,90p,,400,31,400,400,low
RI,Saltwater,,,pH,None,mean,6.5,8.5,,,,
RI,Saltwater,,,pH,None,min,6.5,8.5,,,,
RI,Saltwater,,,pH,None,max,6.5,8.5,,,,
RI,Saltwater,,,"Temperature, water",deg F,max,,83,,,,
RI,Warmwater,,,Dissolved oxygen,mg/L,min,5,,,,,
RI,Warmwater,,,Dissolved oxygen,mg/L,mean,6,,,,,
RI,Warmwater,,,Dissolved oxygen saturation,%,min,60,,,,,
RI,,,,Enterococcus,cfu/100mL,geomean,,54,33,54,54,low
RI,,,,Enterococcus,cfu/100mL,max,,61,,,,
RI,,,,Fecal Coliform,MPN/100mL,geomean,,200,20,200,200,low
RI,,,,Fecal Coliform,MPN/100mL,90p,,400,200,400,400,low
RI,,,,pH,None,mean,6.5,9,,,,
RI,,,,pH,None,min,6.5,9,,,,
RI,,,,pH,None,max,6.5,9,,,,
RI,,,,"Temperature, water",deg F,max,,83,,,,
RI,,,,"Total Phosphorus, mixed forms",mg/L,mean,,0.025,,,,
,Coldwater,,,Dissolved oxygen,mg/L,min,4,,8,5,4,high
,Coldwater,,,Dissolved oxygen,mg/L,mean,6.5,,9.5,6.5,6.5,high
,Saltwater,,,Fecal Coliform,MPN/100mL,median,,14,,,,
,Saltwater,,,Fecal Coliform,MPN/100mL,90p,,43,,,,
,Saltwater,,,pH,None,mean,6.5,8.5,,,,
,Saltwater,,,pH,None,min,6.5,8.5,,,,
,Saltwater,,,pH,None,max,6.5,8.5,,,,
,Saltwater,,,"Total Phosphorus, mixed forms",ug/L,max,,0.1,,,,
